no,dir,green,x,y,xx,yy
126,w,0.227305094,395.0937824,137.1319384,395.0937824,152.1319384
127,e,0.38999939,433.1549223,161.676231,433.1549223,146.676231
127,w,0.269719442,433.1549223,161.676231,433.1549223,176.676231
128,e,0.38999939,433.1549223,161.676231,433.1549223,146.676231
128,w,0.269719442,433.1549223,161.676231,433.1549223,176.676231
129,e,0.248174032,522.3233161,169.6717203,522.3233161,154.6717203
129,w,0.297210693,522.3233161,169.6717203,522.3233161,184.6717203
130,e,0.24134318,562.0601036,149.9619095,562.0601036,134.9619095
130,w,0.313329061,562.0601036,149.9619095,562.0601036,164.9619095
131,n,0.265940348,428.7264249,230.102744,443.7264249,230.102744
131,s,0.115865072,428.7264249,230.102744,413.7264249,230.102744
132,n,0.133539836,441.4134715,229.173036,456.4134715,229.173036
132,s,0.187667847,441.4134715,229.173036,426.4134715,229.173036
133,e,0.144917806,178.4564767,212.2523493,178.4564767,197.2523493
133,w,0.109888713,178.4564767,212.2523493,178.4564767,227.2523493
134,e,0.185801188,217.953886,213.7398822,217.953886,198.7398822
134,w,0.099456787,217.953886,213.7398822,217.953886,228.7398822
135,e,0.121607463,271.6943005,226.1979702,271.6943005,211.1979702
135,w,0.118789673,271.6943005,226.1979702,271.6943005,241.1979702
136,e,0.18598938,309.1569948,229.7308608,309.1569948,214.7308608
136,w,0.103790283,309.1569948,229.7308608,309.1569948,244.7308608
137,n,0.177047729,333.6932642,208.2546047,348.6932642,208.2546047
137,s,0.262481689,333.6932642,208.2546047,318.6932642,208.2546047
138,e,0.19148763,326.392228,289.5110888,326.392228,274.5110888
138,w,0.170883179,326.392228,289.5110888,326.392228,304.5110888
139,e,0.124704997,365.4108808,296.7628117,365.4108808,281.7628117
139,w,0.118398031,365.4108808,296.7628117,365.4108808,311.7628117
140,n,0.169509888,361.8202073,344.7357474,376.8202073,344.7357474
140,s,0.166890462,361.8202073,344.7357474,346.8202073,344.7357474
141,n,0.194793701,276.3621762,375.6950257,291.3621762,375.6950257
141,s,0.073974609,276.3621762,375.6950257,261.3621762,375.6950257
142,e,0.211156209,315.1414508,354.032828,315.1414508,339.032828
142,w,0.182729085,315.1414508,354.032828,315.1414508,369.032828
143,e,0.105682373,295.3927461,411.8606691,295.3927461,396.8606691
143,w,0.160359701,295.3927461,411.8606691,295.3927461,426.8606691
144,n,0.182510376,336.2067358,391.4070918,351.2067358,391.4070918
144,s,0.240020752,336.2067358,391.4070918,321.2067358,391.4070918
145,e,0.208028158,300.1803109,448.4911665,300.1803109,433.4911665
145,w,0.172770182,300.1803109,448.4911665,300.1803109,463.4911665
146,e,0.189142863,256.3740933,467.9220649,256.3740933,452.9220649
146,w,0.091567993,256.3740933,467.9220649,256.3740933,482.9220649
147,e,0.127894084,198.8036269,462.157875,198.8036269,447.157875
147,w,0.177769979,198.8036269,462.157875,198.8036269,477.157875
